
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:12:40 2019

Wall Time:      162.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Metric                        :      0.433u      0.000s      0.258w      1 calls
DFMP2 Aia Read                      :      0.000u      0.017s      0.005w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.133u      0.000s      0.078w      1 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.010w      1 calls
DFMP2 Energy                        :      0.283u      0.017s      0.187w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.006w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.044w      1 calls
DFH: initialize()                   :      2.417u      0.100s      1.522w      1 calls
| DFH: AO Construction              :      1.200u      0.017s      0.728w      1 calls
| DFH: AO-Met. Contraction          :      0.800u      0.050s      0.518w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.567u      0.000s      0.340w      1 calls
| SAD Guess                         :      0.550u      0.000s      0.327w      1 calls
HF: Form G                          :      2.333u      0.033s      1.418w     14 calls
| JK: D                             :      0.017u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :      2.317u      0.033s      1.414w     14 calls
| | DFH: compute_JK()               :      2.317u      0.033s      1.414w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      0.417u      0.000s      0.255w     14 calls
| | | DFH: compute_K                :      1.900u      0.033s      1.158w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.050u      0.017s      0.037w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.005w     13 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.012w     13 calls
| | bMatrix setup                   :      0.000u      0.000s      0.005w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.017s      0.006w     13 calls
HF: Form C                          :      0.100u      0.000s      0.053w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      2.067u      0.083s      1.282w      1 calls
| DFMP2 (A|mn)                      :      1.783u      0.000s      1.063w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.040w      1 calls
| DFMP2 (A|mi)C_na                  :      0.033u      0.000s      0.022w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.010w      1 calls
DFMP2 Qia                           :      0.567u      0.033s      0.357w      1 calls
| DFMP2 Metric                      :      0.433u      0.000s      0.258w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.017s      0.005w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.133u      0.000s      0.078w      1 calls
| DFMP2 Qia Write                   :      0.000u      0.017s      0.010w      1 calls
DFMP2 Energy                        :      0.283u      0.017s      0.187w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.006w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:13:53 2019
Timers Off: Sun Dec 29 14:16:32 2019

Wall Time:      158.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.000s      0.056w      1 calls
JK: (A|mn)                          :      8.017u      0.000s      4.816w      1 calls
JK: (A|Q)^-1/2                      :      0.867u      0.017s      0.522w      1 calls
JK: (Q|mn)                          :      3.017u      0.000s      1.815w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.015w      1 calls
HF: Guess                           :      0.650u      0.000s      0.392w      1 calls
SAD Guess                           :      0.633u      0.000s      0.377w      1 calls
HF: Form G                          :     16.850u      0.283s     10.278w     14 calls
JK: D                               :      0.000u      0.000s      0.003w     14 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     14 calls
JK: JK                              :     16.817u      0.283s     10.268w     14 calls
JK: J                               :      1.017u      0.000s      0.605w     14 calls
JK: J1                              :      0.483u      0.000s      0.289w     14 calls
JK: J2                              :      0.533u      0.000s      0.311w     14 calls
JK: K                               :     15.750u      0.033s      9.471w     14 calls
JK: K1                              :     13.300u      0.033s      8.006w     14 calls
JK: K2                              :      2.450u      0.000s      1.463w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.002w     14 calls
HF: Form D                          :      0.000u      0.000s      0.002w     14 calls
HF: DIIS                            :      0.133u      0.033s      0.102w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.010w     13 calls
DIISManager::extrapolate            :      0.033u      0.033s      0.026w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.012w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.017u      0.033s      0.013w     13 calls
HF: Form C                          :      0.333u      0.000s      0.196w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.003w      1 calls
DFMP2 Aia                           :      5.483u      0.233s      3.423w      1 calls
DFMP2 (A|mn)                        :      4.783u      0.000s      2.866w      2 calls
DFMP2 (A|mn)C_mi                    :      0.233u      0.000s      0.148w      2 calls
DFMP2 (A|mi)C_na                    :      0.150u      0.000s      0.077w      2 calls
DFMP2 Aia Write                     :      0.000u      0.050s      0.023w      2 calls
DFMP2 Qia                           :      1.250u      0.100s      0.812w      1 calls
DFMP2 Metric                        :      0.867u      0.017s      0.532w      1 calls
DFMP2 Aia Read                      :      0.000u      0.017s      0.010w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.383u      0.000s      0.230w      1 calls
DFMP2 Qia Write                     :      0.000u      0.050s      0.023w      1 calls
DFMP2 Energy                        :      0.950u      0.067s      0.610w      1 calls
DFMP2 Qia Read                      :      0.000u      0.017s      0.014w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.000s      0.056w      1 calls
JK: (A|mn)                          :      8.017u      0.000s      4.816w      1 calls
JK: (A|Q)^-1/2                      :      0.867u      0.017s      0.522w      1 calls
JK: (Q|mn)                          :      3.017u      0.000s      1.815w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.015w      1 calls
HF: Guess                           :      0.650u      0.000s      0.392w      1 calls
| SAD Guess                         :      0.633u      0.000s      0.377w      1 calls
HF: Form G                          :     16.850u      0.283s     10.278w     14 calls
| JK: D                             :      0.000u      0.000s      0.003w     14 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     14 calls
| JK: JK                            :     16.817u      0.283s     10.268w     14 calls
| | JK: J                           :      1.017u      0.000s      0.605w     14 calls
| | | JK: J1                        :      0.483u      0.000s      0.289w     14 calls
| | | JK: J2                        :      0.533u      0.000s      0.311w     14 calls
| | JK: K                           :     15.750u      0.033s      9.471w     14 calls
