
Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:40:37 2020
Timers Off: Wed Apr  1 17:44:31 2020

Wall Time:      234.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     12 calls
| | New vector                      :      0.117u      0.000s      0.013w     12 calls
HF: Form C                          :      1.100u      0.033s      0.168w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.002w      1 calls
DFMP2 Aia                           :      8.600u      0.750s      1.644w      1 calls
| DFMP2 (A|mn)                      :      6.217u      0.167s      0.957w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.467u      0.033s      0.076w      1 calls
| DFMP2 (A|mi)C_na                  :      0.200u      0.000s      0.031w      1 calls
| DFMP2 Aia Write                   :      0.100u      0.050s      0.022w      1 calls
DFMP2 Qia                           :      3.817u      0.267s      0.613w      1 calls
| DFMP2 Metric                      :      2.650u      0.133s      0.417w      1 calls
| DFMP2 Aia Read                    :      0.083u      0.017s      0.015w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.683u      0.000s      0.103w      1 calls
| DFMP2 Qia Write                   :      0.100u      0.050s      0.021w      1 calls
DFMP2 Energy                        :      2.300u      0.150s      0.369w      1 calls
| DFMP2 Qia Read                    :      0.133u      0.017s      0.025w      2 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 18:14:57 2020
Timers Off: Wed Apr  1 18:20:24 2020

Wall Time:      326.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.767u      0.067s      0.199w      2 calls
DFH: initialize()                   :     65.717u      3.517s     10.971w      2 calls
DFH: AO Construction                :     18.983u      0.783s      2.965w      2 calls
DFH: AO-Met. Contraction            :     36.950u      2.133s      6.308w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.049w      1 calls
HF: Form S/X                        :      0.250u      0.017s      0.042w      1 calls
HF: Guess                           :      4.033u      0.283s      0.648w      1 calls
SAD Guess                           :      3.950u      0.267s      0.633w      1 calls
HF: Form G                          :     51.933u      3.550s      8.325w     17 calls
JK: D                               :      0.100u      0.033s      0.011w     30 calls
JK: USO2AO                          :      0.017u      0.000s      0.008w     30 calls
JK: JK                              :    115.267u      7.550s     18.427w     30 calls
DFH: compute_JK()                   :    115.267u      7.533s     18.426w     30 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     30 calls
DFH: compute_J                      :     21.033u      0.800s      3.278w     30 calls
DFH: compute_K                      :     92.133u      5.800s     14.699w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     30 calls
HF: Form F                          :      0.033u      0.000s      0.006w     17 calls
HF: Form D                          :      0.000u      0.000s      0.006w     17 calls
HF: DIIS                            :      1.183u      0.217s      0.211w     16 calls
DIISManager::add_entry              :      0.150u      0.000s      0.026w     16 calls
DIISManager::extrapolate            :      0.433u      0.167s      0.086w     16 calls
bMatrix setup                       :      0.200u      0.100s      0.038w     16 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     16 calls
New vector                          :      0.233u      0.067s      0.046w     16 calls
HF: Form C                          :      3.017u      0.067s      0.465w     16 calls
DFMP2 Singles                       :      0.017u      0.000s      0.003w      1 calls
DFMP2 Aia                           :     20.583u      1.667s      4.134w      1 calls
DFMP2 (A|mn)                        :     15.683u      0.333s      2.404w      1 calls
DFMP2 (A|mn)C_mi                    :      1.533u      0.017s      0.233w      1 calls
DFMP2 (A|mi)C_na                    :      0.733u      0.017s      0.113w      1 calls
DFMP2 Aia Write                     :      0.217u      0.100s      0.047w      1 calls
DFMP2 iaQ                           :     10.733u      0.833s      1.776w      1 calls
DFMP2 Metric                        :      4.917u      0.133s      0.784w      1 calls
DFMP2 Aia Read                      :      0.150u      0.050s      0.030w      1 calls
DFMP2 (Q|A)(A|ia)                   :      3.883u      0.000s      0.582w      2 calls
DFMP2 Qia Write                     :      0.233u      0.117s      0.050w      1 calls
DFMP2 Qia Read                      :      0.083u      0.083s      0.074w      3 calls
DFMP2 Bia Write                     :      0.217u      0.100s      0.047w      1 calls
DFMP2 aiQ                           :      0.650u      0.267s      0.157w      1 calls
DFMP2 Tij                           :     28.017u      1.600s      5.116w      1 calls
DFMP2 Cia Read                      :      0.000u      0.083s      0.048w      2 calls
DFMP2 I                             :     21.050u      0.083s      3.171w      2 calls
DFMP2 T2                            :      2.917u      0.000s      0.438w      2 calls
DFMP2 G                             :     12.000u      0.100s      1.825w      1 calls
DFMP2 Pab                           :      2.833u      0.200s      0.458w      1 calls
DFMP2 Gia Write                     :      0.200u      0.100s      0.043w      1 calls
DFMP2 Tab                           :     13.800u      1.017s      2.708w      1 calls
DFMP2 Qai Read                      :      0.033u      0.050s      0.049w      2 calls
DFMP2 Pij                           :      0.817u      0.000s      0.124w      1 calls
DFMP2 gamma                         :      2.783u      0.283s      0.516w      1 calls
DFMP2 Gia Read                      :      0.017u      0.083s      0.050w      2 calls
DFMP2 g                             :      2.117u      0.000s      0.317w      1 calls
DFMP2 Gia                           :      1.250u      0.400s      0.269w      1 calls
DFMP2 aiG Write                     :      0.183u      0.083s      0.040w      1 calls
DFMP2 AB^x                          :      1.550u      0.050s      0.385w      1 calls
DFMP2 Amn^x                         :     64.217u      1.350s     10.637w      1 calls
DFMP2 L                             :     27.367u      4.067s      6.131w      1 calls
DFMP2 P                             :      0.017u      0.017s      0.016w      1 calls
DFMP2 W                             :      0.067u      0.000s      0.014w      1 calls
DFMP2 Z                             :     97.950u      5.900s     15.914w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.133u      0.033s      0.099w      1 calls
DFH: initialize()                   :     33.733u      2.000s      5.715w      1 calls
| DFH: AO Construction              :     10.250u      0.417s      1.598w      1 calls
| DFH: AO-Met. Contraction          :     18.767u      1.267s      3.266w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.049w      1 calls
HF: Form S/X                        :      0.250u      0.017s      0.042w      1 calls
HF: Guess                           :      4.033u      0.283s      0.648w      1 calls
| SAD Guess                         :      3.950u      0.267s      0.633w      1 calls
HF: Form G                          :     51.933u      3.550s      8.325w     17 calls
