
Host: bme-nova.bme.utexas.edu

Timers On : Mon Apr  6 14:33:13 2020
Timers Off: Mon Apr  6 14:40:19 2020

Wall Time:      426.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Qia Read                    :      0.017u      0.017s      0.011w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.017s      0.007w      1 calls
| DFMP2 I                           :      1.083u      0.000s      0.164w      1 calls
| DFMP2 T2                          :      0.267u      0.000s      0.042w      1 calls
| DFMP2 G                           :      1.283u      0.017s      0.192w      1 calls
| DFMP2 Pab                         :      0.300u      0.017s      0.048w      1 calls
| DFMP2 Gia Write                   :      0.083u      0.033s      0.016w      1 calls
DFMP2 Tab                           :      2.833u      0.550s      0.620w      1 calls
| DFMP2 Qai Read                    :      0.000u      0.017s      0.010w      2 calls
| DFMP2 I                           :      1.083u      0.000s      0.163w      1 calls
| DFMP2 T2                          :      0.450u      0.000s      0.069w      1 calls
| DFMP2 Pij                         :      0.367u      0.000s      0.054w      1 calls
DFMP2 gamma                         :      0.500u      0.050s      0.082w      1 calls
| DFMP2 Gia Read                    :      0.033u      0.000s      0.007w      1 calls
| DFMP2 Cia Read                    :      0.033u      0.017s      0.006w      1 calls
| DFMP2 g                           :      0.367u      0.000s      0.054w      1 calls
DFMP2 Gia                           :      0.483u      0.067s      0.084w      1 calls
| DFMP2 Gia Read                    :      0.017u      0.017s      0.006w      1 calls
| DFMP2 aiG Write                   :      0.067u      0.017s      0.013w      1 calls
DFMP2 AB^x                          :      0.833u      0.033s      0.133w      1 calls
DFMP2 Amn^x                         :     15.333u      1.717s      3.273w      1 calls
DFMP2 L                             :      7.750u      3.150s      3.044w      1 calls
DFMP2 P                             :      0.000u      0.000s      0.001w      1 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      1 calls
DFMP2 Z                             :     27.167u     12.983s      6.174w      1 calls
| DFH: sparsity prep                :      0.333u      0.000s      0.053w      1 calls
| DFH: initialize()                 :      8.583u      4.683s      2.000w      1 calls
| | DFH: AO Construction            :      2.667u      1.867s      0.678w      1 calls
| | DFH: AO-Met. Contraction        :      3.683u      2.717s      0.970w      1 calls
| JK: D                             :      0.050u      0.000s      0.002w     13 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     13 calls
| JK: JK                            :     17.683u      8.250s      4.037w     13 calls
| | DFH: compute_JK()               :     17.683u      8.250s      4.037w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      2.883u      0.033s      0.442w     13 calls
| | | DFH: compute_K                :     14.300u      8.050s      3.491w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************
