
Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 15:28:53 2020
Timers Off: Wed Jan  8 16:12:43 2020

Wall Time:     2629.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      0.167u      0.000s      0.010w      1 calls
HF: Guess                           :     14.967u      0.617s      0.938w      1 calls
| SAD Guess                         :     14.700u      0.600s      0.922w      1 calls
HF: Form G                          :     76.383u    164.383s     15.111w     11 calls
| JK: D                             :      0.017u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     11 calls
| JK: JK                            :     76.267u    164.350s     15.102w     11 calls
| | DFH: compute_JK()               :     76.267u    164.350s     15.102w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      8.900u      0.083s      0.541w     11 calls
| | | DFH: compute_K                :     59.300u    162.883s     13.994w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.050u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.617u      0.067s      0.041w     10 calls
| DIISManager::add_entry            :      0.100u      0.050s      0.007w     10 calls
| DIISManager::extrapolate          :      0.250u      0.000s      0.017w     10 calls
| | bMatrix setup                   :      0.167u      0.000s      0.010w     10 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     10 calls
| | New vector                      :      0.083u      0.000s      0.007w     10 calls
HF: Form C                          :      1.433u      0.033s      0.087w     10 calls

**************************************************************************************

Host: g2-node38.bme.utexas.edu

Timers On : Mon Jan 13 18:06:08 2020
Timers Off: Mon Jan 13 18:06:36 2020

Wall Time:       28.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.017s      0.161w      1 calls
DFH: initialize()                   :    202.367u      4.117s     12.608w      1 calls
DFH: AO Construction                :     51.300u      0.200s      3.090w      1 calls
DFH: AO-Met. Contraction            :     41.383u      0.567s      2.526w      1 calls
HF: Form core H                     :      0.450u      0.033s      0.056w      1 calls
HF: Form S/X                        :      0.250u      0.000s      0.015w      1 calls
HF: Guess                           :     13.883u      0.583s      0.867w      1 calls
SAD Guess                           :     13.633u      0.567s      0.853w      1 calls
HF: Form G                          :    103.017u      5.200s      6.491w     11 calls
JK: D                               :      0.067u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     11 calls
JK: JK                              :    102.817u      5.200s      6.482w     11 calls
DFH: compute_JK()                   :    102.817u      5.200s      6.482w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      5.750u      0.050s      0.347w     11 calls
DFH: compute_K                      :     96.667u      5.133s      6.105w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.050u      0.000s      0.002w     11 calls
HF: Form D                          :      0.050u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.867u      0.067s      0.058w     10 calls
DIISManager::add_entry              :      0.233u      0.050s      0.017w     10 calls
DIISManager::extrapolate            :      0.317u      0.017s      0.021w     10 calls
bMatrix setup                       :      0.167u      0.017s      0.012w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     10 calls
New vector                          :      0.150u      0.000s      0.008w     10 calls
HF: Form C                          :      2.417u      0.100s      0.148w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.017s      0.161w      1 calls
DFH: initialize()                   :    202.367u      4.117s     12.608w      1 calls
| DFH: AO Construction              :     51.300u      0.200s      3.090w      1 calls
| DFH: AO-Met. Contraction          :     41.383u      0.567s      2.526w      1 calls
HF: Form core H                     :      0.450u      0.033s      0.056w      1 calls
HF: Form S/X                        :      0.250u      0.000s      0.015w      1 calls
HF: Guess                           :     13.883u      0.583s      0.867w      1 calls
| SAD Guess                         :     13.633u      0.567s      0.853w      1 calls
HF: Form G                          :    103.017u      5.200s      6.491w     11 calls
| JK: D                             :      0.067u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     11 calls
| JK: JK                            :    102.817u      5.200s      6.482w     11 calls
| | DFH: compute_JK()               :    102.817u      5.200s      6.482w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      5.750u      0.050s      0.347w     11 calls
| | | DFH: compute_K                :     96.667u      5.133s      6.105w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.050u      0.000s      0.002w     11 calls
HF: Form D                          :      0.050u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.867u      0.067s      0.058w     10 calls
| DIISManager::add_entry            :      0.233u      0.050s      0.017w     10 calls
| DIISManager::extrapolate          :      0.317u      0.017s      0.021w     10 calls
| | bMatrix setup                   :      0.167u      0.017s      0.012w     10 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     10 calls
| | New vector                      :      0.150u      0.000s      0.008w     10 calls
HF: Form C                          :      2.417u      0.100s      0.148w     10 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Tue Jan 14 08:19:06 2020
Timers Off: Tue Jan 14 08:19:42 2020

Wall Time:       35.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.233u      0.033s      0.147w      1 calls
DFH: initialize()                   :    183.350u     32.850s     14.823w      1 calls
DFH: AO Construction                :     45.317u      7.383s      3.527w      1 calls
DFH: AO-Met. Contraction            :     35.550u     19.367s      3.396w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.233u      0.000s      0.014w      1 calls
HF: Guess                           :     15.350u      0.850s      0.984w      1 calls
SAD Guess                           :     15.083u      0.833s      0.967w      1 calls
HF: Form G                          :     80.300u    159.750s     15.156w     11 calls
JK: D                               :      0.050u      0.017s      0.002w     11 calls
