
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DIISManager::add_entry              :      0.017u      0.000s      0.041w    119 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.018w    119 calls
bMatrix setup                       :      0.017u      0.000s      0.007w    119 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w    119 calls
New vector                          :      0.000u      0.017s      0.005w    119 calls
HF: Form C                          :      0.017u      0.017s      0.048w    131 calls
Grad: V T Perturb                   :      0.400u      0.017s      0.261w     13 calls
Grad: S                             :      0.017u      0.000s      0.005w     13 calls
Grad: JK                            :      9.567u      0.067s      5.950w     13 calls
JKGrad: Amn                         :      1.400u      0.000s      0.849w     13 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     13 calls
JKGrad: AB                          :      1.300u      0.000s      0.789w     13 calls
JKGrad: UV                          :      0.017u      0.017s      0.013w     13 calls
JKGrad: ABx                         :      0.933u      0.000s      0.566w     13 calls
JKGrad: Amnx                        :      5.300u      0.017s      3.176w     13 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.000s      0.350w     13 calls
DFH: initialize()                   :      2.917u      0.033s      1.768w     13 calls
| DFH: AO Construction              :      0.817u      0.000s      0.486w     13 calls
| DFH: AO-Met. Contraction          :      0.267u      0.017s      0.171w     13 calls
HF: Form core H                     :      0.000u      0.017s      0.200w     13 calls
HF: Form S/X                        :      0.017u      0.000s      0.006w     13 calls
HF: Guess                           :      0.533u      0.000s      0.323w     13 calls
| SAD Guess                         :      0.517u      0.000s      0.311w      1 calls
HF: Form G                          :      0.433u      0.000s      0.269w    132 calls
| JK: D                             :      0.000u      0.000s      0.002w    132 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    132 calls
| JK: JK                            :      0.433u      0.000s      0.260w    132 calls
| | DFH: compute_JK()               :      0.433u      0.000s      0.259w    132 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    132 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.046w    132 calls
| | | DFH: compute_K                :      0.367u      0.000s      0.211w    132 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    132 calls
HF: Form F                          :      0.000u      0.000s      0.002w    132 calls
HF: Form D                          :      0.000u      0.000s      0.002w    132 calls
HF: DIIS                            :      0.117u      0.017s      0.120w    131 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.041w    119 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.018w    119 calls
| | bMatrix setup                   :      0.017u      0.000s      0.007w    119 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w    119 calls
| | New vector                      :      0.000u      0.017s      0.005w    119 calls
HF: Form C                          :      0.017u      0.017s      0.048w    131 calls
Grad: V T Perturb                   :      0.400u      0.017s      0.261w     13 calls
Grad: S                             :      0.017u      0.000s      0.005w     13 calls
Grad: JK                            :      9.567u      0.067s      5.950w     13 calls
| JKGrad: Amn                       :      1.400u      0.000s      0.849w     13 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     13 calls
| JKGrad: AB                        :      1.300u      0.000s      0.789w     13 calls
| JKGrad: UV                        :      0.017u      0.017s      0.013w     13 calls
| JKGrad: ABx                       :      0.933u      0.000s      0.566w     13 calls
| JKGrad: Amnx                      :      5.300u      0.017s      3.176w     13 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:31:16 2019
Timers Off: Sun Dec 29 12:31:26 2019

Wall Time:       10.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.217w      8 calls
DFH: initialize()                   :      1.783u      0.017s      1.093w      8 calls
DFH: AO Construction                :      0.483u      0.000s      0.298w      8 calls
DFH: AO-Met. Contraction            :      0.183u      0.000s      0.107w      8 calls
HF: Form core H                     :      0.033u      0.017s      0.199w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      8 calls
HF: Guess                           :      0.533u      0.000s      0.322w      8 calls
SAD Guess                           :      0.517u      0.000s      0.310w      1 calls
HF: Form G                          :      0.217u      0.000s      0.168w     82 calls
JK: D                               :      0.000u      0.000s      0.001w     82 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     82 calls
JK: JK                              :      0.217u      0.000s      0.163w     82 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.162w     82 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     82 calls
DFH: compute_J                      :      0.033u      0.000s      0.028w     82 calls
DFH: compute_K                      :      0.167u      0.000s      0.133w     82 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     82 calls
HF: Form F                          :      0.000u      0.000s      0.001w     82 calls
HF: Form D                          :      0.000u      0.000s      0.001w     82 calls
HF: DIIS                            :      0.150u      0.017s      0.085w     81 calls
DIISManager::add_entry              :      0.017u      0.000s      0.036w     74 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.011w     74 calls
bMatrix setup                       :      0.017u      0.000s      0.005w     74 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     74 calls
New vector                          :      0.017u      0.000s      0.003w     74 calls
HF: Form C                          :      0.050u      0.000s      0.030w     81 calls
Grad: V T Perturb                   :      0.267u      0.017s      0.162w      8 calls
Grad: S                             :      0.000u      0.000s      0.003w      8 calls
Grad: JK                            :      5.900u      0.017s      3.802w      8 calls
JKGrad: Amn                         :      0.833u      0.000s      0.525w      8 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      8 calls
JKGrad: AB                          :      0.833u      0.017s      0.490w      8 calls
JKGrad: UV                          :      0.000u      0.000s      0.008w      8 calls
JKGrad: ABx                         :      0.583u      0.000s      0.353w      8 calls
JKGrad: Amnx                        :      3.267u      0.000s      1.973w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
